Date,Close/Last,Volume,Open,High,Low
02/20/2023,4.75,N/A,4.75,4.75,4.75
02/17/2023,4.75,N/A,4.75,4.75,4.75
02/16/2023,4.75,N/A,4.75,4.75,4.75
02/15/2023,4.75,N/A,4.75,4.75,4.75
02/14/2023,4.75,N/A,4.75,4.75,4.75
02/13/2023,4.75,N/A,4.75,4.75,4.75
02/10/2023,4.75,N/A,4.75,4.75,4.75
02/09/2023,4.75,N/A,4.75,4.75,4.75
02/08/2023,4.75,N/A,4.75,4.75,4.75
02/07/2023,4.75,N/A,4.75,4.75,4.75
02/06/2023,4.75,N/A,4.75,4.75,4.75
02/03/2023,4.75,N/A,4.75,4.75,4.75
02/02/2023,4.75,N/A,4.75,4.75,4.75
02/01/2023,4.5,N/A,4.5,4.5,4.5
01/31/2023,4.5,N/A,4.5,4.5,4.5
01/30/2023,4.5,N/A,4.5,4.5,4.5
01/27/2023,4.5,N/A,4.5,4.5,4.5
01/26/2023,4.5,N/A,4.5,4.5,4.5
01/25/2023,4.5,N/A,4.5,4.5,4.5
01/24/2023,4.5,N/A,4.5,4.5,4.5
01/23/2023,4.5,N/A,4.5,4.5,4.5
01/20/2023,4.5,N/A,4.5,4.5,4.5
01/19/2023,4.5,N/A,4.5,4.5,4.5
01/18/2023,4.5,N/A,4.5,4.5,4.5
01/17/2023,4.5,N/A,4.5,4.5,4.5
01/16/2023,4.5,N/A,4.5,4.5,4.5
01/13/2023,4.5,N/A,4.5,4.5,4.5
01/12/2023,4.5,N/A,4.5,4.5,4.5
01/11/2023,4.5,N/A,4.5,4.5,4.5
01/10/2023,4.5,N/A,4.5,4.5,4.5
01/09/2023,4.5,N/A,4.5,4.5,4.5
01/06/2023,4.5,N/A,4.5,4.5,4.5
01/05/2023,4.5,N/A,4.5,4.5,4.5
01/04/2023,4.5,N/A,4.5,4.5,4.5
01/03/2023,4.5,N/A,4.5,4.5,4.5
01/02/2023,4.5,N/A,4.5,4.5,4.5
12/30/2022,4.5,N/A,4.5,4.5,4.5
12/29/2022,4.5,N/A,4.5,4.5,4.5
12/28/2022,4.5,N/A,4.5,4.5,4.5
12/27/2022,4.5,N/A,4.5,4.5,4.5
12/26/2022,4.5,N/A,4.5,4.5,4.5
12/23/2022,4.5,N/A,4.5,4.5,4.5
12/22/2022,4.5,N/A,4.5,4.5,4.5
12/21/2022,4.5,N/A,4.5,4.5,4.5
12/20/2022,4.5,N/A,4.5,4.5,4.5
12/19/2022,4.5,N/A,4.5,4.5,4.5
12/16/2022,4.5,N/A,4.5,4.5,4.5
12/15/2022,4,N/A,4,4,4
12/14/2022,4,N/A,4,4,4
12/13/2022,4,N/A,4,4,4
12/12/2022,4,N/A,4,4,4
12/09/2022,4,N/A,4,4,4
12/08/2022,4,N/A,4,4,4
12/07/2022,4,N/A,4,4,4
12/06/2022,4,N/A,4,4,4
12/05/2022,4,N/A,4,4,4
12/02/2022,4,N/A,4,4,4
12/01/2022,4,N/A,4,4,4
11/30/2022,4,N/A,4,4,4
11/29/2022,4,N/A,4,4,4
11/28/2022,4,N/A,4,4,4
11/25/2022,4,N/A,4,4,4
11/24/2022,4,N/A,4,4,4
11/23/2022,4,N/A,4,4,4
11/22/2022,4,N/A,4,4,4
11/21/2022,4,N/A,4,4,4
11/18/2022,4,N/A,4,4,4
11/17/2022,4,N/A,4,4,4
11/16/2022,4,N/A,4,4,4
11/15/2022,4,N/A,4,4,4
11/14/2022,4,N/A,4,4,4
11/11/2022,4,N/A,4,4,4
11/10/2022,4,N/A,4,4,4
11/09/2022,4,N/A,4,4,4
11/08/2022,4,N/A,4,4,4
11/07/2022,4,N/A,4,4,4
11/04/2022,4,N/A,4,4,4
11/03/2022,4,N/A,4,4,4
11/02/2022,3.25,N/A,3.25,3.25,3.25
11/01/2022,3.25,N/A,3.25,3.25,3.25
10/31/2022,3.25,N/A,3.25,3.25,3.25
10/28/2022,3.25,N/A,3.25,3.25,3.25
10/27/2022,3.25,N/A,3.25,3.25,3.25
10/26/2022,3.25,N/A,3.25,3.25,3.25
10/25/2022,3.25,N/A,3.25,3.25,3.25
10/24/2022,3.25,N/A,3.25,3.25,3.25
10/21/2022,3.25,N/A,3.25,3.25,3.25
10/20/2022,3.25,N/A,3.25,3.25,3.25
10/19/2022,3.25,N/A,3.25,3.25,3.25
10/18/2022,3.25,N/A,3.25,3.25,3.25
10/17/2022,3.25,N/A,3.25,3.25,3.25
10/14/2022,3.25,N/A,3.25,3.25,3.25
10/13/2022,3.25,N/A,3.25,3.25,3.25
10/12/2022,3.25,N/A,3.25,3.25,3.25
10/11/2022,3.25,N/A,3.25,3.25,3.25
10/10/2022,3.25,N/A,3.25,3.25,3.25
10/07/2022,3.25,N/A,3.25,3.25,3.25
10/06/2022,3.25,N/A,3.25,3.25,3.25
10/05/2022,3.25,N/A,3.25,3.25,3.25
10/04/2022,3.25,N/A,3.25,3.25,3.25
10/03/2022,3.25,N/A,3.25,3.25,3.25
09/30/2022,3.25,N/A,3.25,3.25,3.25
09/29/2022,3.25,N/A,3.25,3.25,3.25
09/28/2022,3.25,N/A,3.25,3.25,3.25
09/27/2022,3.25,N/A,3.25,3.25,3.25
09/26/2022,3.25,N/A,3.25,3.25,3.25
09/23/2022,3.25,N/A,3.25,3.25,3.25
09/22/2022,3.25,N/A,3.25,3.25,3.25
09/21/2022,2.5,N/A,2.5,2.5,2.5
09/20/2022,2.5,N/A,2.5,2.5,2.5
09/19/2022,2.5,N/A,2.5,2.5,2.5
09/16/2022,2.5,N/A,2.5,2.5,2.5
09/15/2022,2.5,N/A,2.5,2.5,2.5
09/14/2022,2.5,N/A,2.5,2.5,2.5
09/13/2022,2.5,N/A,2.5,2.5,2.5
09/12/2022,2.5,N/A,2.5,2.5,2.5
09/09/2022,2.5,N/A,2.5,2.5,2.5
09/08/2022,2.5,N/A,2.5,2.5,2.5
09/07/2022,2.5,N/A,2.5,2.5,2.5
09/06/2022,2.5,N/A,2.5,2.5,2.5
09/05/2022,2.5,N/A,2.5,2.5,2.5
